id,name,age,nationality_id,club_id
1,Hakim Ziyech,25,1,1
2,Alireza Jahanbakhsh,24,2,2
3,Hirving Lozano,22,3,3
4,Lasse Schone,32,4,1
5,Santiago Arias,26,5,3
6,Karim El Ahmadi,33,1,4
7,Tyronne Ebuehi,22,6,5
8,Sofyan Amrabat,21,1,4
9,Kasper Dolberg,20,4,1
10,Reza Ghoochannejhad,30,2,6
11,Aleksandar Mitrovic,23,7,7
12,Massimo Luongo,25,8,8
13,Pontus Jansson,27,9,9
14,Romain Saiss,28,1,10
15,Mile Jedinak,33,8,11
16,Bryan Oviedo,28,10,12
17,Aron Gunnarsson,29,11,13
18,Jackson Irvine,25,8,14
19,Henrik Dalsgaard,28,4,15
20,Jonas Knudsen,25,4,16
21,James Meredith,30,8,17
22,Bartosz Bialkowski,30,12,16
23,Sebastian Larsson,33,9,14
24,Birkir Bjarnason,30,11,11
25,Jon Dadi Bodvarsson,26,11,18
26,Bruno Fernandes,23,13,19
27,Antoine Griezmann,27,14,20
28,Nabil Fekir,24,14,21
29,Mesut Ozil,29,15,22
30,Remo Freuler,26,16,23
31,Manuel Fernandes,32,13,24
32,Saman Ghoddos,24,2,25
33,Timo Werner,22,15,26
34,Granit Xhaka,25,16,22
35,Adnan Januzaj,23,17,27
36,Lucas Biglia,32,18,28
37,Aleksandr Golovin,22,19,29
38,Danny Welbeck,27,20,22
39,Branislav Ivanovic,34,7,30
40,William Carvalho,26,13,19
41,Diego Costa,29,21,20
42,Hiroki Sakai,28,22,31
43,Koke,26,21,20
44,Mario Gavranovic,28,16,32
45,Olivier Giroud,31,14,22
46,Marcelo,31,23,21
47,Diego Godin,32,24,20
48,Alvaro Odriozola,22,21,27
49,Gelson Martins,23,13,19
50,Sergej Milinkovic-Savic,23,7,33
51,Danilo,22,23,34
52,Ricardo Rodriguez,25,16,28
53,Lucas Hernandez,22,14,20
54,Daler Kuzyaev,25,19,30
55,Andre Silva,22,13,28
56,Sebastian Coates,27,24,19
57,Andrey Lunev,26,19,30
58,Domagoj Vida,29,25,35
59,Jefferson Farfan,33,26,24
60,Jacek Goralski,25,12,36
61,Florian Thauvin,25,14,31
62,Bryan Ruiz,32,10,19
63,Mohamed Elneny,25,27,22
64,Adil Rami,32,14,31
65,Milan Rodic,27,7,37
66,Marcos Acuna,26,18,19
67,Nacho Monreal,32,21,22
68,Cristian Zapata,31,5,28
69,David Ospina,29,5,22
70,Michy Batshuayi,24,17,38
71,Sergei Ignashevich,38,19,29
72,Robin Olsen,28,9,39
73,Emil Forsberg,26,9,26
74,Igor Akinfeev,32,19,29
75,Duje Caleta-Car,21,25,40
76,Nemanja Radonjic,22,7,37
77,Alex Iwobi,22,6,22
78,Anthony Lopes,27,13,21
79,Josip Pivaric,29,25,35
80,Paolo Hurtado,27,26,41
81,Vladimir Stojkovic,34,7,42
82,Gylfi Sigurdsson,28,11,43
83,Yuya Osako,28,22,44
84,Maciej Rybus,28,12,24
85,William Kvist,33,4,39
86,Rui Patricio,30,13,19
87,Yuri Zhirkov,34,19,30
88,Andreas Cornelius,25,4,23
89,Alan Dzagoev,27,19,29
90,Carlos Bacca,31,5,45
91,Yussuf Poulsen,23,4,26
92,Bassem Srarfi,20,28,46
93,Paulinho,25,23,34
94,Filip Bradaric,26,25,32
95,Anton Miranchuk,22,19,24
96,Steven Zuber,26,16,47
97,Denis Cheryshev,27,19,45
98,Ahmed Musa,25,6,29
99,Andrej Kramaric,26,25,47
100,Nikola Kalinic,30,25,28
101,Predrag Rajkovic,22,7,48
102,Igor Smolnikov,29,19,30
103,Steve Mandanda,33,14,31
104,Marco Reus,29,15,38
105,Sime Vrsaljko,26,25,20
106,Lionel Messi,30,18,49
107,Cristiano Ronaldo,33,13,50
108,Luis Suarez,31,24,49
109,Casemiro,26,23,50
110,Iago Aspas,30,21,51
111,Toni Kroos,28,15,50
112,Filipe Luis,32,23,20
113,Luka Modric,32,25,50
114,Sergio Busquets,29,21,49
115,Jordi Alba,29,21,49
116,Gerard Pique,31,21,49
117,Isco,26,21,50
118,Goncalo Guedes,21,13,52
119,Ivan Rakitic,30,25,49
120,Sergio Ramos,32,21,50
121,Ever Banega,29,18,53
122,Samuel Umtiti,24,14,49
123,Cristhian Stuani,31,24,54
124,Jefferson Lerma,23,5,55
125,Pione Sisto,23,4,51
126,Keylor Navas,31,10,50
127,Andres Guardado,31,3,56
128,Lucas Vazquez,26,21,50
129,Andres Iniesta,34,21,49
130,Nacho,28,21,50
131,Steven N'Zonzi,29,14,53
132,Celso Borges,30,10,57
133,Raphael Varane,25,14,50
134,Faycal Fajr,29,1,58
135,Simon Kjaer,29,4,53
136,Gabriel Mercado,31,18,53
137,Kepa Arrizabalaga,23,21,59
138,Johan Mojica,25,5,54
139,Mateo Kovacic,24,25,50
140,Takashi Inui,30,22,60
141,Marko Dmitrovic,26,7,60
142,Gaku Shibasaki,26,22,58
143,Nordin Amrabat,31,1,61
144,Mario Fernandes,27,19,29
145,Andreas Granqvist,33,9,62
146,Ilya Kutepov,24,19,63
147,Roman Zobnin,24,19,63
148,Sardar Azmoun,23,2,64
149,Vladimir Granat,31,19,64
150,Aleksandr Samedov,33,19,63
151,Vladimir Gabulov,34,19,65
152,James Rodriguez,26,5,66
153,Robert Lewandowski,29,12,66
154,Thiago Alcantara,27,21,66
155,Salif Sane,27,29,67
156,Thomas Muller,28,15,66
157,Mats Hummels,29,15,66
158,Joshua Kimmich,23,15,66
159,Lukasz Piszczek,33,12,38
160,Jerome Boateng,29,15,66
161,Alfred Finnbogason,29,11,68
162,Thorgan Hazard,25,17,69
163,Benjamin Pavard,22,14,70
164,Thomas Delaney,26,4,71
165,Leon Goretzka,23,15,72
166,Jonas Hector,28,15,44
167,Corentin Tolisso,23,14,66
168,Julian Brandt,22,15,73
169,Ante Rebic,24,25,74
170,Mathew Leckie,27,8,75
171,Jannik Vestergaard,25,4,69
172,Matthias Ginter,24,15,69
173,Koen Casteels,25,17,76
174,Nico Elvedi,21,16,69
175,Amine Harit,20,1,72
176,Niklas Sule,22,15,66
177,Marvin Plattenhardt,26,15,75
178,Sebastian Rudy,28,15,66
179,Shinji Kagawa,29,22,38
180,Yann Sommer,29,16,69
181,Yoshinori Muto,25,22,77
182,Ludwig Augustinsson,24,9,71
183,Denis Zakaria,21,16,69
184,Filip Kostic,25,7,78
185,Carlos Salcedo,24,3,74
186,Milos Veljkovic,22,7,71
187,Gotoku Sakai,27,22,78
188,Albin Ekdal,28,9,78
189,Makoto Hasebe,34,22,74
190,Luka Jovic,20,7,74
191,Gelson Fernandes,31,16,74
192,Breel Embolo,21,16,72
193,Willian,31,23,79
194,Cassio,31,23,80
195,Bruno Alves,27,13,81
196,Marquinhos,28,23,82
197,Pepe,21,13,83
198,Fernandinho,32,23,84
199,Yannick Carrasco,24,17,85
200,Axel Witsel,29,17,86
201,Jose Fonte,34,13,85
202,Neymar,26,23,87
203,Edinson Cavani,31,24,87
204,Kylian Mbappe,19,14,87
205,Angel Di Maria,30,18,87
206,Naim Sliti,25,28,88
207,Djibril Sidibe,25,14,89
208,Ellyes Skhiri,23,28,90
209,Kamil Glik,30,12,89
210,Youssouf Sabaly,25,29,91
211,Joao Moutinho,31,13,89
212,Thomas Lemar,22,14,89
213,Thomas Meunier,26,17,87
214,Thiago Silva,33,23,87
215,Julian Draxler,24,15,87
216,Wahbi Khazri,27,28,92
217,Lukas Lerager,24,4,91
218,Ismaila Sarr,20,29,92
219,Alphonse Areola,25,14,87
220,Presnel Kimpembe,22,14,87
221,Youri Tielemans,21,17,89
222,Chidozie Awaziem,21,6,93
223,Karl-Johan Johnsson,28,9,94
224,Moussa Konate,25,29,95
225,Jimmy Durmaz,29,9,96
226,Eiji Kawashima,35,22,97
227,Danijel Subasic,33,25,89
228,Oussama Haddadi,26,28,88
229,Ola Toivonen,31,9,96
230,Carlos Vela,29,3,98
231,Kendall Waston,30,10,99
232,Rodney Wallace,29,10,100
233,Ronald Matarrita,23,10,100
234,Sergio Aguero,30,18,101
235,Kevin De Bruyne,26,17,101
236,Mohamed Salah,25,27,102
237,Eden Hazard,27,17,103
238,Harry Kane,24,20,104
239,David Silva,32,21,101
240,Raheem Sterling,23,20,101
241,Paul Pogba,25,14,105
242,Christian Eriksen,26,4,104
243,Roberto Firmino,26,23,102
244,Romelu Lukaku,25,17,105
245,Sadio Mane,26,29,102
246,Jan Vertonghen,31,17,104
247,N'Golo Kante,27,14,103
248,Phil Jones,26,20,105
249,Nemanja Matic,29,7,105
250,Cesar Azpilicueta,28,21,103
251,Fabian Delph,28,20,101
252,Wilfred Ndidi,21,6,106
253,Nicolas Otamendi,30,18,101
254,Ashley Young,32,20,105
255,Dele Alli,22,20,104
256,Ruben Loftus-Cheek,22,20,107
257,Harry Maguire,25,20,106
258,Kyle Walker,28,20,101
259,Gabriel Jesus,21,23,101
260,Manuel Lanzini,25,18,108
261,Kieran Trippier,27,20,104
262,Luka Milivojevic,27,7,107
263,Dejan Lovren,28,25,102
264,Ahmed Hegazi,27,27,109
265,Jamie Vardy,31,20,106
266,Eric Dier,24,20,104
267,Jordan Henderson,27,20,102
268,Davinson Sanchez,21,5,104
269,Nick Pope,26,20,110
270,Antonio Rudiger,25,15,103
271,Victor Moses,27,6,103
272,Mousa Dembele,30,17,104
273,Lukasz Fabianski,33,12,111
274,Xherdan Shaqiri,26,16,112
275,Gary Cahill,32,20,103
276,Aaron Mooy,27,8,113
277,Maya Yoshida,29,22,114
278,Jesse Lingard,25,20,105
279,Cheikhou Kouyate,28,29,108
280,Andreas Christensen,22,4,103
281,Bernardo Silva,23,13,101
282,Dusan Tadic,29,7,114
283,Jack Butland,25,20,112
284,Mame Biram Diouf,30,29,112
285,Marcus Rashford,20,20,105
286,Hugo Lloris,31,14,104
287,Mat Ryan,26,8,115
288,Ilkay Gundogan,27,15,101
289,Ederson,24,23,101
290,Jordan Pickford,24,20,43
291,Thibaut Courtois,26,17,103
292,Jose Izquierdo,25,5,115
293,Grzegorz Krychowiak,28,12,109
294,Andre Carrillo,26,26,116
295,Kasper Schmeichel,31,4,106
296,Shinji Okazaki,32,22,106
297,Cedric Soares,26,13,114
298,Jonas Lossl,29,4,113
299,Simon Mignolet,30,17,102
300,Kelechi Iheanacho,21,6,106
301,Ramadan Sobhi,21,27,112
302,Martin Olsson,30,9,111
303,Ricardo Pereira,24,13,117
304,Hector Herrera,28,3,117
305,Andrija Zivkovic,21,7,118
306,Ruben Dias,21,13,118
307,Oghenekaro Etebo,22,6,119
308,Raul Jimenez,27,3,118
309,Haris Seferovic,26,16,118
310,Kenneth Omeruo,24,6,120
311,Dusko Tosic,33,7,121
312,Lamine Gassama,28,29,122
313,Aziz Behich,27,8,123
314,Ogenyi Onazi,25,6,124
315,Fernando Muslera,31,24,125
316,John Stones,24,20,101
317,Mario Mandzukic,32,25,126
318,Aleksandar Kolarov,32,7,127
319,Fred,25,23,128
320,Gonzalo Higuain,30,18,126
321,Michael Lang,27,16,129
322,Manuel Akanji,22,16,129
323,Dries Mertens,31,17,130
324,Federico Fazio,31,18,127
325,Toby Alderweireld,29,17,104
326,Victor Lindelof,23,9,105
327,Douglas Costa,27,23,126
328,Taison,30,23,128
329,Alisson,25,23,127
330,Paulo Dybala,24,18,126
331,Piotr Zielinski,24,12,130
332,Sami Khedira,31,15,126
333,Mikael Lustig,31,9,131
334,Dedryck Boyata,27,17,131
335,Uros Spajic,25,7,132
336,Rodrigo Bentancur,20,24,126
337,Blaise Matuidi,31,14,126
338,Renato Tapia,22,26,4
339,Diego Reyes,25,3,117
340,Lukasz Teodorczyk,27,12,132
341,Leander Dendoncker,23,17,132
342,Ivan Perisic,29,25,133
343,Adem Ljajic,26,7,134
344,Marcelo Brozovic,25,25,133
345,Lucas Torreira,22,24,135
346,Milan Badelj,29,25,136
347,Cristian Ansaldi,31,18,134
348,Miranda,33,23,133
349,Joel Obi,27,6,134
350,Mario Rui,27,13,130
351,Matias Vecino,26,24,133
352,Valon Behrami,33,16,137
353,Diego Laxalt,25,24,138
354,Karol Linetty,23,12,135
355,Filip Helander,25,9,139
356,Alfred Gomis,24,29,140
357,Bartosz Bereszynski,25,12,135
358,Giancarlo Gonzalez,30,10,139
359,Dawid Kownacki,21,12,135
360,Emil Hallfredsson,33,11,137
361,Marcus Rohden,27,9,141
